|1| 21	25	26	27	28	29	30	31	32	33	34	35	36	37	23	24	22	19	18	20	16	17	15	14	13	10	12	9	11	8	7	6	5	4	3	2	1	
|2| 1	29	30	31	33	34	35	36	37	28	32	26	27	23	24	25	22	18	21	2	17	19	20	14	4	16	3	15	12	7	11	5	10	13	9	6	8	
|3| 1	2	35	36	37	33	34	31	32	3	30	4	29	5	6	28	27	24	7	8	23	26	25	9	20	16	19	22	21	13	17	10	18	15	12	14	11	
|4| 1	2	3	5	36	37	6	35	4	7	8	9	33	10	32	34	11	15	12	14	13	29	31	16	30	28	18	26	17	19	27	21	24	20	25	22	23	
|5| 1	2	3	4	6	8	37	5	7	9	10	11	13	14	12	15	17	16	19	18	36	20	21	22	23	35	33	34	24	31	25	27	30	29	26	32	28	
|6| 1	2	3	4	5	7	8	9	10	11	12	14	6	13	15	19	16	17	18	20	21	23	24	22	25	27	26	28	30	31	29	32	34	33	35	36	37	
|7| 8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	2	7	4	1	5	6	3	
